abide,respecter,39
about,sur,358
above,au dessus,123
abroad,à l'étranger,62
absence,absence,55
abuse,abuser de,57
according,selon,24
account,Compte,45
accuse,accuser,41
acquainted,connaissance,37
action,action,126
advantage,avantage,72
advice,Conseil,43
affairs,affaires,65
affection,affection,69
affections,affections,40
afraid,peur,40
after,après,324
afterwards,ensuite,38
again,encore,753
alive,vivant,86
almost,presque,138
alone,seul,230
along,le long de,108
already,déjà,138
although,bien que,36
always,toujours,57
ambition,ambition,43
ancient,ancien,71
angel,ange,74
anger,colère,56
another,un autre,345
answer,répondre,374
anything,n'importe quoi,100
apparel,vêtements,39
appear,apparaître,114
appears,apparaît,49
approach,approche,59
argument,argument,75
ariel,Ariel,0
armour,armure,45
aside,de côté,74
asleep,endormi,59
assure,assurer,55
athens,Athènes,0
attend,assister,115
attended,assisté,41
authority,autorité,51
avoid,éviter,35
awake,éveillé,63
awhile,quelque temps,100
banish,bannir,30
barren,Dénudé,37
bassianus,bassianus,0
bastard,Connard,74
battle,bataille,128
beard,barbe,97
bearing,palier,59
bears,ours,101
beast,la bête,84
beaten,battu,44
beauty,beauté,194
because,car,81
become,devenir,176
bedford,Bedford,0
before,avant,625
beggar,mendiant,75
begin,commencer,147
behalf,nom,45
behind,derrière,110
behold,voir,115
being,étant,543
believe,croyez,189
belike,être comme,22
below,au dessous de,52
benefit,avantage,45
besides,outre,48
betray,trahir,38
better,mieux,570
between,entre,190
beyond,au-delà,42
birth,naissance,87
bishop,évêque,4
bitter,amer,73
black,noir,144
blame,faire des reproches,84
bless,bénir,84
blessing,bénédiction,54
blest,heureux,49
blind,aveugle,78
blood,du sang,834
blows,coups,68
blunt,cru,28
blush,rougir,47
bodies,corps,44
bones,des os,75
borne,supporté,75
bottom,bas,37
bought,acheté,50
bound,lié,179
bounty,prime,39
brain,cerveau,79
brains,cerveaux,45
brave,courageux,157
breast,Sein,100
breath,souffle,254
breed,race,64
brief,bref,84
bright,brillant,66
bring,apporter,418
broke,cassé,133
brook,ruisseau,40
brother,frère,542
brought,apporté,186
brows,sourcils,45
burden,fardeau,47
buried,enterré,54
burning,brûlant,44
business,Entreprise,230
cannot,ne peux pas,718
capitol,Capitole,0
captain,capitaine,63
cardinal,cardinal,7
cares,se soucie,36
carry,porter,78
castle,Château,55
catch,capture,67
cause,cause,351
cease,cesser,41
certain,certain,167
chain,chaîne,69
chair,chaise,45
challenge,défi,50
chamber,chambre,115
chance,chance,117
change,changement,166
charge,charge,213
charity,charité,52
chaste,chaste,36
cheek,joue,111
cheer,acclamation,74
chide,gronder,52
chief,chef,30
child,enfant,216
choice,choix,69
church,église,53
cinna,cinna,0
citizen,citoyenne,40
civil,civil,48
claim,prétendre,67
clarence,clarté,0
claud,claud,0
claudio,Claudio,0
clear,clair,60
clifford,Clifford,0
close,proche,108
cloten,cailloter,0
clothes,vêtements,39
clouds,des nuages,57
clown,pitre,17
college,Université,4
colour,Couleur,112
comes,vient,594
comfort,confort,191
coming,venir,141
cominius,cominius,0
command,commander,177
commanded,commandé,35
commend,saluer,68
commercial,commercial,0
commission,commission,48
commit,commettre,32
common,commun,166
companion,un compagnon,43
company,entreprise,200
complete,Achevée,19
complexion,complexion,44
condition,état,66
conduct,conduite,46
confess,avouer,115
conscience,conscience,122
consent,consentement,90
consider,considérer,36
constable,gendarme,17
constant,constant,47
contempt,mépris,44
content,contenu,152
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
could,pourrait,552
council,conseil,22
counsel,Conseil,137
count,compter,50
counterfeit,contrefaire,51
countess,comtesse,1
country,pays,135
courage,courage,57
course,cours,171
court,tribunal,247
courtesy,courtoisie,63
cousin,cousin,225
coward,lâche,97
crave,demander,66
creature,créature,90
credit,crédit,51
cromwell,Cromwell,0
cross,traverser,60
crown,couronne,276
cruel,cruel,70
cunning,ruse,72
cupid,Cupidon,0
curse,malédiction,139
custom,Douane,43
dagger,dague,49
damned,damné,42
dance,Danse,72
danger,danger,109
darkness,obscurité,37
daughter,fille,417
deadly,mortel,48
dearest,très cher,55
dearly,chèrement,41
death,décès,812
deeds,actes,118
defend,défendre,67
degree,diplôme,55
delight,délice,66
deliver,livrer,96
demand,demande,63
denied,refusé,52
depart,partir,61
desert,désert,56
deserve,mériter,100
desire,le désir,253
despair,désespoir,46
desperate,désespéré,49
despite,malgré,44
device,dispositif,45
devil,diable,229
devise,concevoir,48
didst,didst,145
dinner,dîner,84
discourse,discours,62
discover,découvrir,43
disgrace,disgrâce,50
dishonour,déshonorer,39
dispatch,envoi,57
displeasure,mécontentement,40
disposition,disposition,49
distributed,distribué,2
divine,Divin,50
doctor,docteur,34
doing,Faire,65
dolabella,Dolabella,0
doors,des portes,61
double,double,94
doubt,doute,167
download,Télécharger,0
dramatis,dramatis,0
drawn,tiré,79
dread,crainte,46
dreadful,horrible,59
dream,rêver,129
dreams,rêves,43
drink,boisson,158
drops,gouttes,51
drown,noyer,43
drums,tambours,35
drunk,ivre,66
duncan,Duncan,0
durst,durst,45
dwell,habiter,49
dying,en train de mourir,43
early,de bonne heure,45
earth,Terre,303
edmund,Edmund,0
effect,effet,87
egypt,Egypte,0
either,Soit,109
elbow,coude,12
elder,aîné,41
embrace,embrasse,66
emilia,Émilie,0
emperor,empereur,14
empty,vide,48
encounter,rencontre,55
endure,supporter,74
enemies,ennemis,111
enemy,ennemi,157
enjoy,prendre plaisir,45
enobarbus,énobarbus,0
enough,assez,287
enter,entrer,123
entertain,divertir,39
entertainment,divertissement,37
entreat,supplier,119
equal,égal,45
estate,biens,51
eternal,éternel,37
every,chaque,455
everything,tout,41
excellent,excellent,100
except,sauf,21
excuse,excuse,75
execution,exécution,48
exeter,Exeter,0
exeunt,sortir,7
express,Express,34
faces,visages,53
faint,perdre connaissance,46
fairy,Fée,40
faith,Foi,312
falls,des chutes,63
false,faux,275
familiar,familier,35
fancy,fantaisie,47
farewell,adieu,159
farther,plus loin,42
fashion,mode,102
fatal,fatal,40
father,père,815
fault,faute,221
favour,favoriser,141
fearful,craintif,89
fears,peurs,73
feast,le banquet,103
feeble,faible,22
fellow,compagnon,319
fenton,Fenton,0
ferdinand,Ferdinand,0
fetch,chercher,102
field,champ,198
